airport_ident,le_ident,le_lat,le_lon,le_heading_deg,he_ident,he_lat,he_lon,he_heading_deg,length_ft,width_ft,surface,closed
00A,H1,,,,,,,,80,80,ASPH-G,0
00AK,N,,,,S,,,,2500,40,GRVL,0
00AL,01,,,,19,,,,2100,90,TURF,0
00AN,3,,,,21,,,,4517,60,GVL,0
00AS,1,,,,19,,,,1450,60,Turf,0
00AZ,15,,,,33,,,,1700,60,GRAVEL,0
00CA,04,35.3493,-116.893,50.0,22,35.3603,-116.878,,6000,80,ASPH,0
00FA,08,,,,26,,,,3200,100,TURF,0
00FL,12,,,,30,,,,4700,60,TURF,0
00GA,09,,,,27,,,,2600,80,TURF,0
00GE,H1,,,,,,,,125,95,ASPH,0
00HI,H1,,,,,,,,1155,45,ASPH-G,0
00ID,08,,,,26,,,,3500,40,TURF,0
00ID,11,,,,29,,,,2900,40,TURF,0
00IL,18,,,,36,,,,2500,75,TURF-F,0
00IN,H1,,,,,,,,40,40,MATS,0
00IS,E,,,,W,,,,1600,70,TURF,0
00KS,17,,,,35,,,,2600,85,TURF,0
00KY,01,,,,19,,,,2100,100,TURF,0
00LA,H1,,,,,,,,40,40,TURF,0
00LL,H1,,,,,,,,25,25,CONC,0
00LS,18,,,,36,,,,2600,100,TURF,0
00MD,14,,,,32,,,,1700,75,TURF,0
00MI,H1,,,,,,,,100,100,TURF,0
00MN,06,,,,24,,,,2949,200,TURF-G,0
00MO,08,,,,26,,,,2400,25,TURF,0
00N,18,,,,36,,,,2420,150,TURF-G,0
00NC,05,,,,23,,,,2650,36,ASPH-G,0
00NJ,H1,,,,,,,,50,50,ASPH,0
00NR,H1,,,,,,,,50,50,CON,0
00NY,03,,,,21,,,,2350,80,TURF,0
00OI,H1,,,,,,,,42,42,CONC,0
00OK,17,,,,35,,,,2200,60,Turf/Dirt,0
00PA,H1,,,,,,,,80,80,TURF-G,0
00PN,12,,,,30,,,,500,75,TURF,0
00S,06,,,,24,,,,2600,90,TURF-P,0
00SC,08,,,,26,,,,2900,100,TURF,0
00SD,18,,,,36,,,,2400,50,Turf,0
00TE,H1,,,,,,,,48,48,TURF,0
00TS,01,,,,19,,,,1200,45,TURF,0
00TT,18,,,,36,,,,2429,80,Turf/Dirt,0
00VA,01,,,,19,,,270.0,1300,100,TURF,0
00VI,09,,,,27,,,,1500,50,TURF,0
00W,14,,,,32,,,,3400,50,GRAVEL-F,0
00WA,08,,,,26,,,,1600,75,TURF-G,0
00WI,09,44.3042,-89.052,87.2,27,44.3044,-89.0482,,1000,60,TURF,0
00WN,05,,,,23,,,,1440,50,TURF-G,0
00WV,05,,,,23,,,,1800,100,TURF,0
01A,5,62.9402,-152.2729,70.0,23,62.9413,-152.2663,250.0,1176,50,GRAVEL-F,0
01AK,H1,,,,,,,,40,40,CONC,0
01AL,N,,,,S,,,,2400,60,TURF,0
01AR,H1,,,,,,,,55,55,CONC,0
01AZ,H1,,,,,,,,210,150,TURF,0
01CA,H1,,,,,,,,20,20,ASPH,0
01CL,09,,,,27,,,,3100,50,ASPH-TRTD,0
01CO,H1,,,,,,,,125,40,ASPH,0
01CT,H1,,,,,,,,70,70,TURF-GRVL,0
01FA,10,,,,28,,,,2000,100,TURF,0
01FA,18,,,,36,,,,1500,100,TURF,0
01FD,H1,,,,,,,,110,110,CONC,0
01FL,18,,,,36,,,,3000,75,TURF,0
01GA,H1,,,,,,,,65,65,CONC,0
01GE,10,,,,28,,,,2560,50,TURF,0
01ID,14,42.611,-112.035,,32,42.6037,-112.031,,3400,100,TURF-F,0
01IL,H1,,,,,,,,416,216,TURF,0
01IN,H1,,,,,,,,45,45,ASPH,0
01IS,09,,,,27,,,,1300,100,TURF,0
01J,18,30.6909,-81.9064,,36,30.6817,-81.905,,3600,125,TURF-P,0
01K,17,,,,35,,,,2460,110,TURF-G,0
01KS,18,,,,36,,,,2400,100,TURF,0
01KY,H1,,,,,,,,40,40,CONC,0
01LA,09,,,,27,,,,2000,60,TURF,0
01LL,02,,,,20,,,,1600,70,TURF,0
01LS,09,30.7227,-91.0802,92.2,27,30.7225,-91.0745,,1800,150,TURF,0
01MA,H1,,,,,,,,32,32,TURF,0
01MI,H1,,,,,,,,50,50,CONC,0
01MO,H1,,,,,,,,37,37,CONC,0
01MT,13,48.795,-114.886,148.0,31,48.7833,-114.875,,5000,70,ASPH-G,0
01MU,H1,,,,,,,,54,54,CON,0
01NC,03,,,,21,,,,3200,75,TURF,0
01NC,18,,,,36,,,,2000,75,ASPH-TURF,0
01NH,17,,,,35,,,,600,100,TURF,0
01NJ,H1,,,,,,,,125,80,ASPH,0
01NM,02,,,,20,,,,2700,70,DIRT,0
01NM,9,,,,27,,,,2000,70,DIRT,0
01NR,H1,,,,,,,,50,50,Turf,0
01NV,18,,,,36,,,,2000,60,GRVL,0
01NY,H1,,,,,,,,100,75,ASPH,0
01OH,H1,,,,,,,,100,100,CON,0
01OI,H1,,,,,,,,30,30,CONC-G,0
01OL,5,34.3607,-96.7365,50.0,23,34.3931,-96.6889,230.0,1600,75,Turf,0
01PN,06,,,,24,,,,1700,100,TURF,0
01PS,03,,,,21,,,,1200,120,TURF-G,0
01SC,18,,,,36,,,,2580,118,TURF-F,0
01TE,04,,,,22,,,,2433,55,TURF-F,0
01TN,18,,,,36,,,,2700,100,TURF,0
01U,03,,,,21,,,,2700,75,DIRT-P,0
01U,15,,,,33,,,,3400,80,DIRT-P,0
01UT,E,,,,W,,,,3200,40,DIRT-P,0
01VA,03,,,,21,,,,1500,60,TURF,0
01WA,H1,,,,,,,,36,36,CONC,0
01WN,H1,,,,,,,,40,40,ASPH,0
01WT,H1,,,,,,,,28,28,CONC-G,0
01WY,12,,,,30,,,,4360,75,DIRT-TURF-G,0
01WY,16,,,,34,,,,2600,65,DIRT-TURF-G,0
01XA,H1,,,,H1,,,,50,50,CONC,0
01XS,H1,,,,,,,,50,50,CONC,0
02AK,15,,,,33,,,,2200,45,GRVL,0
02AL,18,,,,36,,,,2000,150,TURF,0
02AN,2,,,,20,,,,1800,100,Turf,0
02CA,H1,,,,,,,,55,55,PSP,0
02CD,15,,,,33,,,,2500,100,CONC-TURF,0
02CL,16,,,,34,,,,3000,60,DIRT,0
02CO,17,,,,35,,,,2670,50,GRAVEL,0
02CT,H1,,,,,,,,50,50,ASPH,0
02FA,18,,,,36,,,,3585,150,TURF,0
02FD,1,30.9476,-86.636,,19,30.9571,-86.6349,,3443,150,Turf,0
02GA,08,,,,26,,,,1200,100,TURF,0
02GA,13,,,,31,,,,1500,100,TURF,0
02GE,09,,,,27,,,,3400,100,TURF,0
02HI,H1,,,,,,,,100,100,CONC,0
02IA,H1,,,,,,,,50,50,CONC,0
02ID,NE,,,,SW,,,,2000,100,TURF,0
02II,10,,,,28,,,,1100,100,TURF,0
02IN,09,,,,27,,,,1020,150,TURF,0
02IS,H1,,,,,,,,40,40,MATS,0
02KS,11,,,,29,,,,1650,100,TURF,0
02KS,18,,,,36,,,,1950,150,TURF,0
02KY,H1,,,,,,,,100,100,CONC,0
02LA,H1,,,,,,,,20,20,CONC,0
02LS,H1,,,,,,,,24,24,CONC,0
02MA,H1,,,,,,,,50,50,ASPH,0
02MD,9,,,,27,,,,2000,75,Turf,0
02ME,14,,,,32,,,,2400,60,TURF,0
02MI,09,,,,27,,,,2000,100,TURF,0
02MO,08,,,,26,,,,2100,25,TURF-G,0
02MS,12,,,,30,,,,2150,60,TURF-F,0
02NM,8,,,,26,,,,4247,30,Dirt,0
02NR,H1,,,,,,,,50,50,Turf,0
02NV,09,,,,27,,,,2200,50,TURF,0
02NY,H1,,,,,,,,25,25,TURF,0
02OH,09,,,,27,,,,2750,50,TURF,0
02OI,E,,,,W,,,,1500,75,TURF,0
02OR,E,,,,W,,,,2000,30,TURF,0
02P,H1,,,,,,,,100,100,TURF-G,0
02PA,H1,,,,,,,,60,50,TURF-GRVL,0
02PN,H1,,,,,,,,40,40,ASPH,0
02PR,06,,,,24,,,,2000,50,TURF,0
02RI,H1,,,,,,,,100,100,Turf,0
02SC,04,,,,22,,,,3600,150,TURF-G,0
02T,02,,,,20,,,,4050,60,DIRT-G,0
02TA,H1,,,,,,,,32,32,CONC,0
02TE,H1,,,,,,,,40,40,CONC,0
02TN,11,,,,29,,,,1600,120,TURF,0
02UT,07,,,,25,,,,4000,50,DIRT,0
02UT,16,,,,34,,,,4000,50,DIRT-P,0
02VA,18,,,,36,,,,3000,80,TURF,0
02WA,16,,,,34,,,,2650,50,TURF,0
02WI,18,,,,36,,,,2200,60,TURF,0
